text,true_period,prompt
"""Ein Schriftrollen-Kasten ist dort aus Feuerstein in einer Kammer, deren Name, ""Archiv"" ist, und zwar in Heliopolis.",Late Period,"
You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given German translation. Only respond with the name of the period.

Examples:
Text: Dann muß man (es) in Wasser ansetzen.
Period: Late Period

Text: Dann ist sein Gesicht infolgedessen breitgedrückt.
Period: Late Period

Text: Das bedeutet ein Beseitigen der Stirn-/Gesichtskrankheit (ein starker Schnupfen oder Katarrh?) im Kopf.
Period: Late Period

Text: Die Nicht-Untergehenden werden dir folgen.
Period: Middle Kingdom

Text: Er möge bestattet werden in der Nehkropole in der westlichen Bestattungsstätte, indem er sehr schön alt ist als Versorgter durch den König und durch den Großen Gott.
Period: Middle Kingdom

Text: Tausend an Brot, tausend an Gebäck, tausend an Bier, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Opfern.
Period: Middle Kingdom

Text: Ein Opfer, das der König und Osiris, der Herr von Busiris, Chontamenti, der Herr von Abydos, an allen seinen Plätzen geben.
Period: New Kingdom

Text: Herr der Mächte im Tjenenet-Heiligtum,
Period: New Kingdom

Text: Setze deine Arme für das Gute ein!
Period: New Kingdom

Text: Haus des Zerstampfens des Schatzhauses, Haus Unterägyptens
Period: Old Kingdom

Text: Opfern von Brot und Bier in der Kapelle des Horus Za
Period: Old Kingdom

Text: König von Ober- und Unterägypten Chasechemui-nebti-hetep-netjerui-im-ef
Period: Old Kingdom

Now, classify this text:

Text: ""Ein Schriftrollen-Kasten ist dort aus Feuerstein in einer Kammer, deren Name, ""Archiv"" ist, und zwar in Heliopolis.

Answer:"
Die andere in ihrem Besitz gehörte mir.,Late Period,"
You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given German translation. Only respond with the name of the period.

Examples:
Text: Dann muß man (es) in Wasser ansetzen.
Period: Late Period

Text: Dann ist sein Gesicht infolgedessen breitgedrückt.
Period: Late Period

Text: Das bedeutet ein Beseitigen der Stirn-/Gesichtskrankheit (ein starker Schnupfen oder Katarrh?) im Kopf.
Period: Late Period

Text: Die Nicht-Untergehenden werden dir folgen.
Period: Middle Kingdom

Text: Er möge bestattet werden in der Nehkropole in der westlichen Bestattungsstätte, indem er sehr schön alt ist als Versorgter durch den König und durch den Großen Gott.
Period: Middle Kingdom

Text: Tausend an Brot, tausend an Gebäck, tausend an Bier, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Opfern.
Period: Middle Kingdom

Text: Ein Opfer, das der König und Osiris, der Herr von Busiris, Chontamenti, der Herr von Abydos, an allen seinen Plätzen geben.
Period: New Kingdom

Text: Herr der Mächte im Tjenenet-Heiligtum,
Period: New Kingdom

Text: Setze deine Arme für das Gute ein!
Period: New Kingdom

Text: Haus des Zerstampfens des Schatzhauses, Haus Unterägyptens
Period: Old Kingdom

Text: Opfern von Brot und Bier in der Kapelle des Horus Za
Period: Old Kingdom

Text: König von Ober- und Unterägypten Chasechemui-nebti-hetep-netjerui-im-ef
Period: Old Kingdom

Now, classify this text:

Text: Die andere in ihrem Besitz gehörte mir.

Answer:"
Du hast Ober- und Unterägypten vereinigt.,Late Period,"
You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given German translation. Only respond with the name of the period.

Examples:
Text: Dann muß man (es) in Wasser ansetzen.
Period: Late Period

Text: Dann ist sein Gesicht infolgedessen breitgedrückt.
Period: Late Period

Text: Das bedeutet ein Beseitigen der Stirn-/Gesichtskrankheit (ein starker Schnupfen oder Katarrh?) im Kopf.
Period: Late Period

Text: Die Nicht-Untergehenden werden dir folgen.
Period: Middle Kingdom

Text: Er möge bestattet werden in der Nehkropole in der westlichen Bestattungsstätte, indem er sehr schön alt ist als Versorgter durch den König und durch den Großen Gott.
Period: Middle Kingdom

Text: Tausend an Brot, tausend an Gebäck, tausend an Bier, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Opfern.
Period: Middle Kingdom

Text: Ein Opfer, das der König und Osiris, der Herr von Busiris, Chontamenti, der Herr von Abydos, an allen seinen Plätzen geben.
Period: New Kingdom

Text: Herr der Mächte im Tjenenet-Heiligtum,
Period: New Kingdom

Text: Setze deine Arme für das Gute ein!
Period: New Kingdom

Text: Haus des Zerstampfens des Schatzhauses, Haus Unterägyptens
Period: Old Kingdom

Text: Opfern von Brot und Bier in der Kapelle des Horus Za
Period: Old Kingdom

Text: König von Ober- und Unterägypten Chasechemui-nebti-hetep-netjerui-im-ef
Period: Old Kingdom

Now, classify this text:

Text: Du hast Ober- und Unterägypten vereinigt.

Answer:"
"– Es ist sein Hinfallen als einer, der die ganze Zeit kopfüber steht/hängt, das dafür sorgt (wörtl.: veranlasst), dass ein Wirbel in seinen Nachbarwirbel (wörtl.: seinen Zweiten, Kollegen) hineingequetscht wurde (oder: sich hineingequetscht hat). –",Late Period,"
You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given German translation. Only respond with the name of the period.

Examples:
Text: Dann muß man (es) in Wasser ansetzen.
Period: Late Period

Text: Dann ist sein Gesicht infolgedessen breitgedrückt.
Period: Late Period

Text: Das bedeutet ein Beseitigen der Stirn-/Gesichtskrankheit (ein starker Schnupfen oder Katarrh?) im Kopf.
Period: Late Period

Text: Die Nicht-Untergehenden werden dir folgen.
Period: Middle Kingdom

Text: Er möge bestattet werden in der Nehkropole in der westlichen Bestattungsstätte, indem er sehr schön alt ist als Versorgter durch den König und durch den Großen Gott.
Period: Middle Kingdom

Text: Tausend an Brot, tausend an Gebäck, tausend an Bier, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Opfern.
Period: Middle Kingdom

Text: Ein Opfer, das der König und Osiris, der Herr von Busiris, Chontamenti, der Herr von Abydos, an allen seinen Plätzen geben.
Period: New Kingdom

Text: Herr der Mächte im Tjenenet-Heiligtum,
Period: New Kingdom

Text: Setze deine Arme für das Gute ein!
Period: New Kingdom

Text: Haus des Zerstampfens des Schatzhauses, Haus Unterägyptens
Period: Old Kingdom

Text: Opfern von Brot und Bier in der Kapelle des Horus Za
Period: Old Kingdom

Text: König von Ober- und Unterägypten Chasechemui-nebti-hetep-netjerui-im-ef
Period: Old Kingdom

Now, classify this text:

Text: – Es ist sein Hinfallen als einer, der die ganze Zeit kopfüber steht/hängt, das dafür sorgt (wörtl.: veranlasst), dass ein Wirbel in seinen Nachbarwirbel (wörtl.: seinen Zweiten, Kollegen) hineingequetscht wurde (oder: sich hineingequetscht hat). –

Answer:"
(Behandlung:) Dann musst du ihn (den Patienten oder den Bruch) folglich mit $jmr.w$-Verband(?) verbinden.,Late Period,"
You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given German translation. Only respond with the name of the period.

Examples:
Text: Dann muß man (es) in Wasser ansetzen.
Period: Late Period

Text: Dann ist sein Gesicht infolgedessen breitgedrückt.
Period: Late Period

Text: Das bedeutet ein Beseitigen der Stirn-/Gesichtskrankheit (ein starker Schnupfen oder Katarrh?) im Kopf.
Period: Late Period

Text: Die Nicht-Untergehenden werden dir folgen.
Period: Middle Kingdom

Text: Er möge bestattet werden in der Nehkropole in der westlichen Bestattungsstätte, indem er sehr schön alt ist als Versorgter durch den König und durch den Großen Gott.
Period: Middle Kingdom

Text: Tausend an Brot, tausend an Gebäck, tausend an Bier, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Opfern.
Period: Middle Kingdom

Text: Ein Opfer, das der König und Osiris, der Herr von Busiris, Chontamenti, der Herr von Abydos, an allen seinen Plätzen geben.
Period: New Kingdom

Text: Herr der Mächte im Tjenenet-Heiligtum,
Period: New Kingdom

Text: Setze deine Arme für das Gute ein!
Period: New Kingdom

Text: Haus des Zerstampfens des Schatzhauses, Haus Unterägyptens
Period: Old Kingdom

Text: Opfern von Brot und Bier in der Kapelle des Horus Za
Period: Old Kingdom

Text: König von Ober- und Unterägypten Chasechemui-nebti-hetep-netjerui-im-ef
Period: Old Kingdom

Now, classify this text:

Text: (Behandlung:) Dann musst du ihn (den Patienten oder den Bruch) folglich mit $jmr.w$-Verband(?) verbinden.

Answer:"
"Sein Nacken und seine beiden Schultern werden damit entspannt (wörtl.: weichgemacht, d.h. die Steifheit/Steifigkeit im Nacken wird gelöst).",Late Period,"
You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given German translation. Only respond with the name of the period.

Examples:
Text: Dann muß man (es) in Wasser ansetzen.
Period: Late Period

Text: Dann ist sein Gesicht infolgedessen breitgedrückt.
Period: Late Period

Text: Das bedeutet ein Beseitigen der Stirn-/Gesichtskrankheit (ein starker Schnupfen oder Katarrh?) im Kopf.
Period: Late Period

Text: Die Nicht-Untergehenden werden dir folgen.
Period: Middle Kingdom

Text: Er möge bestattet werden in der Nehkropole in der westlichen Bestattungsstätte, indem er sehr schön alt ist als Versorgter durch den König und durch den Großen Gott.
Period: Middle Kingdom

Text: Tausend an Brot, tausend an Gebäck, tausend an Bier, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Opfern.
Period: Middle Kingdom

Text: Ein Opfer, das der König und Osiris, der Herr von Busiris, Chontamenti, der Herr von Abydos, an allen seinen Plätzen geben.
Period: New Kingdom

Text: Herr der Mächte im Tjenenet-Heiligtum,
Period: New Kingdom

Text: Setze deine Arme für das Gute ein!
Period: New Kingdom

Text: Haus des Zerstampfens des Schatzhauses, Haus Unterägyptens
Period: Old Kingdom

Text: Opfern von Brot und Bier in der Kapelle des Horus Za
Period: Old Kingdom

Text: König von Ober- und Unterägypten Chasechemui-nebti-hetep-netjerui-im-ef
Period: Old Kingdom

Now, classify this text:

Text: Sein Nacken und seine beiden Schultern werden damit entspannt (wörtl.: weichgemacht, d.h. die Steifheit/Steifigkeit im Nacken wird gelöst).

Answer:"
"(Untersuchung und Behandlung:) Wenn du einen Mann (d.h. Patienten) mit einer Wunde an der Vorderseite seines Gesichts (d.h. an der Stirn) untersuchst
– die Schale seines $ḏꜣḏꜣ$-Kopfes ist zerbrochen/zersplittert –,
dann mußt du folglich für ihn zubereiten: ein Straußenei, zerrieben in/mit Fett/Öl.",Late Period,"
You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given German translation. Only respond with the name of the period.

Examples:
Text: Dann muß man (es) in Wasser ansetzen.
Period: Late Period

Text: Dann ist sein Gesicht infolgedessen breitgedrückt.
Period: Late Period

Text: Das bedeutet ein Beseitigen der Stirn-/Gesichtskrankheit (ein starker Schnupfen oder Katarrh?) im Kopf.
Period: Late Period

Text: Die Nicht-Untergehenden werden dir folgen.
Period: Middle Kingdom

Text: Er möge bestattet werden in der Nehkropole in der westlichen Bestattungsstätte, indem er sehr schön alt ist als Versorgter durch den König und durch den Großen Gott.
Period: Middle Kingdom

Text: Tausend an Brot, tausend an Gebäck, tausend an Bier, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Opfern.
Period: Middle Kingdom

Text: Ein Opfer, das der König und Osiris, der Herr von Busiris, Chontamenti, der Herr von Abydos, an allen seinen Plätzen geben.
Period: New Kingdom

Text: Herr der Mächte im Tjenenet-Heiligtum,
Period: New Kingdom

Text: Setze deine Arme für das Gute ein!
Period: New Kingdom

Text: Haus des Zerstampfens des Schatzhauses, Haus Unterägyptens
Period: Old Kingdom

Text: Opfern von Brot und Bier in der Kapelle des Horus Za
Period: Old Kingdom

Text: König von Ober- und Unterägypten Chasechemui-nebti-hetep-netjerui-im-ef
Period: Old Kingdom

Now, classify this text:

Text: (Untersuchung und Behandlung:) Wenn du einen Mann (d.h. Patienten) mit einer Wunde an der Vorderseite seines Gesichts (d.h. an der Stirn) untersuchst
– die Schale seines $ḏꜣḏꜣ$-Kopfes ist zerbrochen/zersplittert –,
dann mußt du folglich für ihn zubereiten: ein Straußenei, zerrieben in/mit Fett/Öl.

Answer:"
Daraufhin sagte sie zu mir:,Late Period,"
You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given German translation. Only respond with the name of the period.

Examples:
Text: Dann muß man (es) in Wasser ansetzen.
Period: Late Period

Text: Dann ist sein Gesicht infolgedessen breitgedrückt.
Period: Late Period

Text: Das bedeutet ein Beseitigen der Stirn-/Gesichtskrankheit (ein starker Schnupfen oder Katarrh?) im Kopf.
Period: Late Period

Text: Die Nicht-Untergehenden werden dir folgen.
Period: Middle Kingdom

Text: Er möge bestattet werden in der Nehkropole in der westlichen Bestattungsstätte, indem er sehr schön alt ist als Versorgter durch den König und durch den Großen Gott.
Period: Middle Kingdom

Text: Tausend an Brot, tausend an Gebäck, tausend an Bier, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Opfern.
Period: Middle Kingdom

Text: Ein Opfer, das der König und Osiris, der Herr von Busiris, Chontamenti, der Herr von Abydos, an allen seinen Plätzen geben.
Period: New Kingdom

Text: Herr der Mächte im Tjenenet-Heiligtum,
Period: New Kingdom

Text: Setze deine Arme für das Gute ein!
Period: New Kingdom

Text: Haus des Zerstampfens des Schatzhauses, Haus Unterägyptens
Period: Old Kingdom

Text: Opfern von Brot und Bier in der Kapelle des Horus Za
Period: Old Kingdom

Text: König von Ober- und Unterägypten Chasechemui-nebti-hetep-netjerui-im-ef
Period: Old Kingdom

Now, classify this text:

Text: Daraufhin sagte sie zu mir:

Answer:"
"sein Herz ist (zu) müde/erschöpft, um zu reden.",Late Period,"
You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given German translation. Only respond with the name of the period.

Examples:
Text: Dann muß man (es) in Wasser ansetzen.
Period: Late Period

Text: Dann ist sein Gesicht infolgedessen breitgedrückt.
Period: Late Period

Text: Das bedeutet ein Beseitigen der Stirn-/Gesichtskrankheit (ein starker Schnupfen oder Katarrh?) im Kopf.
Period: Late Period

Text: Die Nicht-Untergehenden werden dir folgen.
Period: Middle Kingdom

Text: Er möge bestattet werden in der Nehkropole in der westlichen Bestattungsstätte, indem er sehr schön alt ist als Versorgter durch den König und durch den Großen Gott.
Period: Middle Kingdom

Text: Tausend an Brot, tausend an Gebäck, tausend an Bier, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Opfern.
Period: Middle Kingdom

Text: Ein Opfer, das der König und Osiris, der Herr von Busiris, Chontamenti, der Herr von Abydos, an allen seinen Plätzen geben.
Period: New Kingdom

Text: Herr der Mächte im Tjenenet-Heiligtum,
Period: New Kingdom

Text: Setze deine Arme für das Gute ein!
Period: New Kingdom

Text: Haus des Zerstampfens des Schatzhauses, Haus Unterägyptens
Period: Old Kingdom

Text: Opfern von Brot und Bier in der Kapelle des Horus Za
Period: Old Kingdom

Text: König von Ober- und Unterägypten Chasechemui-nebti-hetep-netjerui-im-ef
Period: Old Kingdom

Now, classify this text:

Text: sein Herz ist (zu) müde/erschöpft, um zu reden.

Answer:"
"(indem) er nicht in der Lage ist, auf seine Schultern und seine Brust zu blicken:",Late Period,"
You are a historian of ancient Egyptian texts. Based on the following examples, classify the period of the given German translation. Only respond with the name of the period.

Examples:
Text: Dann muß man (es) in Wasser ansetzen.
Period: Late Period

Text: Dann ist sein Gesicht infolgedessen breitgedrückt.
Period: Late Period

Text: Das bedeutet ein Beseitigen der Stirn-/Gesichtskrankheit (ein starker Schnupfen oder Katarrh?) im Kopf.
Period: Late Period

Text: Die Nicht-Untergehenden werden dir folgen.
Period: Middle Kingdom

Text: Er möge bestattet werden in der Nehkropole in der westlichen Bestattungsstätte, indem er sehr schön alt ist als Versorgter durch den König und durch den Großen Gott.
Period: Middle Kingdom

Text: Tausend an Brot, tausend an Gebäck, tausend an Bier, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Geflügel, tausend an Opfern.
Period: Middle Kingdom

Text: Ein Opfer, das der König und Osiris, der Herr von Busiris, Chontamenti, der Herr von Abydos, an allen seinen Plätzen geben.
Period: New Kingdom

Text: Herr der Mächte im Tjenenet-Heiligtum,
Period: New Kingdom

Text: Setze deine Arme für das Gute ein!
Period: New Kingdom

Text: Haus des Zerstampfens des Schatzhauses, Haus Unterägyptens
Period: Old Kingdom

Text: Opfern von Brot und Bier in der Kapelle des Horus Za
Period: Old Kingdom

Text: König von Ober- und Unterägypten Chasechemui-nebti-hetep-netjerui-im-ef
Period: Old Kingdom

Now, classify this text:

Text: (indem) er nicht in der Lage ist, auf seine Schultern und seine Brust zu blicken:

Answer:"
