text,dateNotBefore,dateNotAfter,avgDate,period
"(es) werde zerrieben, (es) werde darauf gelegt.",-1580,-1539,-1560,Late Period
Du gehörst nicht zu ihnen.,-2278,-2184,-2231,Middle Kingdom
"Tausend an Brot, Bier, Rindern und Geflügel für den Versorgten, den Vorsteher des $šnꜥ$, Amenemhet, den Gerechtfertigten.",-1878,-1843,-1861,New Kingdom
"Osiris Unas, nimm dir das Horusauge und stecke es dir in deinen Mund.",-2375,-2345,-2360,Middle Kingdom
"Sie möge bestattet sein in der westlichen Begräbniosstätte, indem sie sehr schön alt ist, die Verwalterin des Königsvermögens Wemetet-ka.",-2345,-2181,-2263,Middle Kingdom
Der Vorsteher der Aktenschreiber des Königs Seschem-nefer.,-2445,-2421,-2433,Middle Kingdom
"Ach, sie möge ausgelassen sein (? o.ä.) auf meinen Ober(?)armen!",-1939,-1630,-1785,New Kingdom
"(Aber nur) die Hälfte deiner Ladung wird das sein, was du überall zerstreut bergen (wörtl.: auf jedem Ufer retten) kannst.",-1939,-1760,-1850,New Kingdom
"Einer, der die Rede beantwortet entsprechend dem, was in ihr vorgekommen ist.",-1837,-1819,-1828,New Kingdom
"(Glosse C:) Was (die Textstelle) ""gerötet/rötlich sind seine beiden (Wund)ränder"" angeht:
das bedeutet, dass seine beiden (Wund)ränder rot sind, wie die Färbung von Körnern/Samen der $ṯms.t$-Pflanze.",-1580,-1539,-1560,Late Period
"Rein ist auch diese Zunge, die in seinem Mund ist.",-2375,-2345,-2360,Middle Kingdom
Das sehr schöne friedliche Durchkreuzen des Himmelsozeans.,-2345,-2323,-2334,Middle Kingdom
Warum handelst du also gegen dich (selbst)?,-1939,-1760,-1850,New Kingdom
(Es) werde dem Kind oder dem Großen gegeben.,-1818,-1630,-1724,New Kingdom
(Denn) sich zu beherrschen (wörtl.: das Herz zu bezwingen) dauert nur einen kurzen Augenblick.,-1939,-1760,-1850,New Kingdom
"Aufseher der Schreiber, Vorsteher der Totenpriester, Rensis Sohn Ibi",-2345,-2181,-2263,Middle Kingdom
"Verletzung für den, der Horus verletzt! (???)",-1939,-1760,-1850,New Kingdom
Gebt das Horusauge auf den Flügel seines Bruders Seth.,-2287,-2278,-2283,Middle Kingdom
Unas ist Sokar von Ro-setau.,-2375,-2345,-2360,Middle Kingdom
"Der Bescheidene (wörtl.: Schweigende), der sich umwendet, um sich bei dir zu beschweren, fürchtet sich nicht vor dem, dem es bittend vorgetragen wird (d.h. vor dir), (indem/wenn) sein Bruder nicht zu dir gebracht worden ist von der Straße.",-1939,-1760,-1850,New Kingdom
"Niemals war Gleichartiges geschehen unter den Göttern, die früher existierten.",-1878,-1843,-1861,New Kingdom
"Ein Brotherr möge/sollte milde sein, (wenn) Macht/Gewalt dem Kriminellen (?) gehört.",-1939,-1760,-1850,New Kingdom
Mögest du das dir zugehörige ausstatten.,-2278,-2184,-2231,Middle Kingdom
"Zurück, der die Brüder trennt, der im Sema-Busch lebt!",-1845,-1819,-1832,New Kingdom
"Ein Heliopolitaner steckt in Unas, (o) Gott, dein Heliopolitaner steckt in Unas, (o) Gott;",-2375,-2345,-2360,Middle Kingdom
"dessen Furchtbarkeit Schu gegeben hat, dessen Würde Tefnut geschaffen hat,",-1759,-1630,-1695,New Kingdom
Groß ist das Gerede/Stimmengewirr (des Beifalls oder der Ablehnung) seitens der Zuhörer.,-1939,-1760,-1850,New Kingdom
"""Wohin willst Du machen (= gehen), kleines Mädchen?""",-1580,-1539,-1560,Late Period
Dies ist das Betrachten des Gewünschten.,-2345,-2181,-2263,Middle Kingdom
Zum Bergwerk des Herrschers war ich gezogen.,-1939,-1760,-1850,New Kingdom
(Es) werde am frühen Morgen an beide Augen des Mannes gegeben.,-1818,-1630,-1724,New Kingdom
Der Weise sagt zu dir:,-1939,-1760,-1850,New Kingdom
"dem Geb sein Erbe überantwortet hat,",-1759,-1630,-1695,New Kingdom
Du sollst die $ḫꜣ.w$ zählen und den Arm der Nicht-Untergehenden ergreifen.,-2287,-2278,-2283,Middle Kingdom
Mögest du mit ihm zufrieden sein.,-2278,-2184,-2231,Middle Kingdom
Er gibt es mir (aber) nicht (mehr zurück).,-1617,-1610,-1614,Late Period
"Es gibt keinen Leichtsinnigen, der gewichtig (oder: verschwiegen) in Bezug auf (seine) Absichten ist.",-1939,-1760,-1850,New Kingdom
"Er jubelt über das, was ich bestimmt habe zu tun.",-1694,-1693,-1694,New Kingdom
"Der Bewahrer der Geheimnisse jeder Angelegenheit des südlichen Oberägypten, der Liebling seines Herrn,",-2278,-2184,-2231,Middle Kingdom
Tausend an Geflügel und (weißen) Säbelantilopen.,-2494,-2181,-2338,Middle Kingdom
"""Ach, möge es gestattet werden, daß ich dir eine Mitteilung mache (wörtl.: dein Herz erfreue) über diese Beschwerde einer Angelegenheit (?)!",-1939,-1760,-1850,New Kingdom
Er wird nicht lebensvoll sein und dieser Unas wird nicht lebensvoll sein.,-2375,-2345,-2360,Middle Kingdom
"- Nun, die Majestät des Königs von Ober- und Unterägypten 𓍹Cheops𓍺, gerechtfertigt, pflegte Zeit damit zu verbringen, 
zu suchen für sich die Iput-Kammern des $Wn.t$-Heiligtums des Thot, um für sich ein damit Vergleichbares für seinen Horizont zu machen. -",-1580,-1539,-1560,Late Period
Die Große Neunheit hat dich geschützt:,-2278,-2184,-2231,Middle Kingdom
"Domäne Hut-sa-ha-neb, Jahresopfer, Königshaus, Krugmagazin, Imi-weret-Phyle",-2842,-2800,-2821,Old Kingdom
Die Versorgte bei dem großen Gott und Verwalterin des Königsvermögens Jpi.,-2345,-2181,-2263,Middle Kingdom
Ein Kornspeicher der unterägyptischen Gerste und Emmer.,-2589,-2566,-2578,Middle Kingdom
"einer, der einzigartig vorzüglich ist - seine Arbeit löst sich nicht (in nichts) auf -;",-1759,-1630,-1695,New Kingdom
"Einer, der die Rede beantwortet entsprechend dem, was in ihr vorgekommen ist.",-1837,-1819,-1828,New Kingdom
"Ein Totenopfer (aus) Brot, Bier, Rindern, Geflügel, Alabaster, Leinen und jeder schönen und reinen Sache, die vor dem großen Gott herausgekommen ist, für den Ka des Versorgten, des Kämmerers, Djaa, des Gerechtfertigten.",-1845,-1837,-1841,New Kingdom
Sein Herz ist (so) zufriedengestellt.,-1939,-1760,-1850,New Kingdom
"Ist er lebensvoll, ist dieser Unas lebensvoll.",-2375,-2345,-2360,Middle Kingdom
